number of wings	minimum price	optimal partition
4	455	4
5	570	5
6	680	6
7	795	7
8	910	8
9	1020	9
10	1135	10
11	1250	11
12	1360	12
13	1475	13
14	1590	14
15	1700	15
16	1815	16
17	1930	17
18	2040	18
19	2155	19
20	2270	20
21	2380	21
22	2495	22
23	2610	23
24	2720	6, 18
25	2780	25
26	2895	26
27	3010	27
28	3120	28
29	3235	29
30	3350	30
31	3460	6, 25
32	3575	4, 28
33	3690	4, 29
34	3800	6, 28
35	3915	35
36	4030	4, 4, 28
37	4140	6, 6, 25
38	4255	4, 6, 28
39	4370	4, 35
40	4480	40
41	4595	4, 6, 6, 25
42	4710	4, 4, 6, 28
43	4820	6, 6, 6, 25
44	4935	4, 40
45	5050	45
46	5160	6, 40
47	5275	4, 6, 6, 6, 25
48	5390	4, 4, 40
49	5500	6, 6, 6, 6, 25
50	5560	50
51	5675	25, 26
52	5790	25, 27
53	5900	25, 28
54	6015	4, 50
55	6130	4, 25, 26
56	6240	6, 50
57	6355	4, 25, 28
58	6470	4, 4, 50
59	6580	6, 25, 28
60	6695	4, 6, 50
61	6810	4, 4, 25, 28
62	6920	6, 6, 50
63	7035	4, 6, 25, 28
64	7150	4, 4, 6, 50
65	7260	6, 6, 25, 28
66	7375	4, 6, 6, 50
67	7490	4, 4, 6, 25, 28
68	7600	6, 6, 6, 50
69	7715	4, 6, 6, 25, 28
70	7830	70
71	7940	6, 6, 6, 25, 28
72	8055	4, 6, 6, 6, 50
73	8170	4, 4, 6, 6, 25, 28
74	8280	6, 6, 6, 6, 50
75	8340	25, 50
76	8455	25, 25, 26
77	8570	25, 25, 27
78	8680	25, 25, 28
79	8795	4, 25, 50
80	8910	80
81	9020	6, 25, 50
82	9135	4, 25, 25, 28
83	9250	4, 4, 25, 50
84	9360	6, 25, 25, 28
85	9475	4, 6, 25, 50
86	9590	4, 4, 25, 25, 28
87	9700	6, 6, 25, 50
88	9815	4, 6, 25, 25, 28
89	9930	4, 4, 6, 25, 50
90	10040	6, 6, 25, 25, 28
91	10155	4, 6, 6, 25, 50
92	10270	4, 4, 6, 25, 25, 28
93	10380	6, 6, 6, 25, 50
94	10495	4, 6, 6, 25, 25, 28
95	10610	4, 4, 6, 6, 25, 50
96	10720	6, 6, 6, 25, 25, 28
97	10835	4, 6, 6, 6, 25, 50
98	10950	4, 4, 6, 6, 25, 25, 28
99	11060	6, 6, 6, 6, 25, 50
100	11120	25, 25, 50
101	11235	25, 25, 25, 26
102	11350	25, 25, 25, 27
103	11460	25, 25, 25, 28
104	11575	4, 25, 25, 50
105	11690	4, 25, 25, 25, 26
106	11800	6, 25, 25, 50
107	11915	4, 25, 25, 25, 28
108	12030	4, 4, 25, 25, 50
109	12140	6, 25, 25, 25, 28
110	12255	4, 6, 25, 25, 50
111	12370	4, 4, 25, 25, 25, 28
112	12480	6, 6, 25, 25, 50
113	12595	4, 6, 25, 25, 25, 28
114	12710	4, 4, 6, 25, 25, 50
115	12820	6, 6, 25, 25, 25, 28
116	12935	4, 6, 6, 25, 25, 50
117	13050	4, 4, 6, 25, 25, 25, 28
118	13160	6, 6, 6, 25, 25, 50
119	13275	4, 6, 6, 25, 25, 25, 28
120	13390	4, 4, 6, 6, 25, 25, 50
121	13500	6, 6, 6, 25, 25, 25, 28
122	13615	4, 6, 6, 6, 25, 25, 50
123	13730	4, 4, 6, 6, 25, 25, 25, 28
124	13840	6, 6, 6, 6, 25, 25, 50
125	13900	125
126	14015	25, 25, 25, 25, 26
127	14130	25, 25, 25, 25, 27
128	14240	25, 25, 25, 25, 28
129	14355	4, 125
130	14470	4, 25, 25, 25, 25, 26
131	14580	6, 125
132	14695	4, 25, 25, 25, 25, 28
133	14810	4, 4, 125
134	14920	6, 25, 25, 25, 25, 28
135	15035	4, 6, 125
136	15150	4, 4, 25, 25, 25, 25, 28
137	15260	6, 6, 125
138	15375	4, 6, 25, 25, 25, 25, 28
139	15490	4, 4, 6, 125
140	15600	6, 6, 25, 25, 25, 25, 28
141	15715	4, 6, 6, 125
142	15830	4, 4, 6, 25, 25, 25, 25, 28
143	15940	6, 6, 6, 125
144	16055	4, 6, 6, 25, 25, 25, 25, 28
145	16170	4, 4, 6, 6, 125
146	16280	6, 6, 6, 25, 25, 25, 25, 28
147	16395	4, 6, 6, 6, 125
148	16510	4, 4, 6, 6, 25, 25, 25, 25, 28
149	16620	6, 6, 6, 6, 125
150	16680	25, 125
151	16795	25, 25, 25, 25, 25, 26
152	16910	25, 25, 25, 25, 25, 27
153	17020	25, 25, 25, 25, 25, 28
154	17135	4, 25, 125
155	17250	4, 25, 25, 25, 25, 25, 26
156	17360	6, 25, 125
157	17475	4, 25, 25, 25, 25, 25, 28
158	17590	4, 4, 25, 125
159	17700	6, 25, 25, 25, 25, 25, 28
160	17815	4, 6, 25, 125
161	17930	4, 4, 25, 25, 25, 25, 25, 28
162	18040	6, 6, 25, 125
163	18155	4, 6, 25, 25, 25, 25, 25, 28
164	18270	4, 4, 6, 25, 125
165	18380	6, 6, 25, 25, 25, 25, 25, 28
166	18495	4, 6, 6, 25, 125
167	18610	4, 4, 6, 25, 25, 25, 25, 25, 28
168	18720	6, 6, 6, 25, 125
169	18835	4, 6, 6, 25, 25, 25, 25, 25, 28
170	18950	4, 4, 6, 6, 25, 125
171	19060	6, 6, 6, 25, 25, 25, 25, 25, 28
172	19175	4, 6, 6, 6, 25, 125
173	19290	4, 4, 6, 6, 25, 25, 25, 25, 25, 28
174	19400	6, 6, 6, 6, 25, 125
175	19460	25, 25, 125
176	19575	25, 25, 25, 25, 25, 25, 26
177	19690	25, 25, 25, 25, 25, 25, 27
178	19800	25, 25, 25, 25, 25, 25, 28
179	19915	4, 25, 25, 125
180	20030	4, 25, 25, 25, 25, 25, 25, 26
181	20140	6, 25, 25, 125
182	20255	4, 25, 25, 25, 25, 25, 25, 28
183	20370	4, 4, 25, 25, 125
184	20480	6, 25, 25, 25, 25, 25, 25, 28
185	20595	4, 6, 25, 25, 125
186	20710	4, 4, 25, 25, 25, 25, 25, 25, 28
187	20820	6, 6, 25, 25, 125
188	20935	4, 6, 25, 25, 25, 25, 25, 25, 28
189	21050	4, 4, 6, 25, 25, 125
190	21160	6, 6, 25, 25, 25, 25, 25, 25, 28
191	21275	4, 6, 6, 25, 25, 125
192	21390	4, 4, 6, 25, 25, 25, 25, 25, 25, 28
193	21500	6, 6, 6, 25, 25, 125
194	21615	4, 6, 6, 25, 25, 25, 25, 25, 25, 28
